SA2_NAME16,SA2_MAIN16,Average Valuation
Concord West - North Strathfield,120011384,6156.950015217135
Drummoyne - Rodd Point,120011385,5211.37491620779
Five Dock - Abbotsford,120011386,4378.266578737064
Balmain,120021387,10486.892287630257
Leichhardt - Annandale,120021388,7779.537633806495
Lilyfield - Rozelle,120021389,8140.396627361034
Ashfield,120031390,6541.4100942670375
Burwood - Croydon,120031391,4955.1601759623745
Canterbury (North) - Ashbury,120031392,5245.901639344263
Croydon Park - Enfield,120031393,3428.957810575601
Dulwich Hill - Lewisham,120031394,5160.418008653688
Haberfield - Summer Hill,120031395,4127.962146833386
Homebush,120031396,4858.220287661334
Strathfield,120031575,3136.7404209589863
Strathfield South,120031576,4882.230264368522
Chatswood (East) - Artarmon,121011398,4524.630309637254
Chatswood (West) - Lane Cove North,121011399,6098.843222396793
Lane Cove - Greenwich,121011400,7399.772984933901
St Leonards - Naremburn,121011401,6307.385818360823
Willoughby - Castle Cove - Northbridge,121011402,4287.842911673561
Asquith - Mount Colah,121021403,1984.4774474948047
Berowra - Brooklyn - Cowan,121021404,1101.9785073837497
Normanhurst - Thornleigh - Westleigh,121021406,1736.9614184690872
Hornsby - East,121021577,4687.390721961788
Hornsby - West,121021578,4749.327727702539
Waitara - Wahroonga (West),121021579,2593.717771760613
Gordon - Killara,121031407,2265.5485627185612
Lindfield - Roseville,121031408,4500.336006052752
Pymble,121031409,2007.015519269474
St Ives,121031410,2192.542398823783
Turramurra,121031411,1775.9649927506562
Wahroonga (East) - Warrawee,121031412,1741.3630332411926
Cremorne - Cammeray,121041413,7226.741412887961
Crows Nest - Waverton,121041414,9043.028906363532
Mosman,121041415,7439.024390243902
Neutral Bay - Kirribilli,121041416,9131.86275862499
North Sydney - Lavender Bay,121041417,11281.677831353076
Balgowlah - Clontarf - Seaforth,122011418,3540.171273257206
Manly - Fairlight,122011419,7668.163356057424
Avalon - Palm Beach,122021420,2407.0853991688496
Bayview - Elanora Heights,122021421,1770.7877067169306
Newport - Bilgola,122021422,2071.2632947161196
Warriewood - Mona Vale,122021423,3019.640231208317
Beacon Hill - Narraweena,122031424,2477.1317632409114
Cromer,122031425,2552.51906034959
Dee Why - North Curl Curl,122031426,2576.953309364747
Forestville - Killarney Heights,122031427,2064.3701862497874
Frenchs Forest - Belrose,122031428,2040.6898069700449
Freshwater - Brookvale,122031429,3666.8441647632376
Manly Vale - Allambie Heights,122031430,3252.0186085547152
Narrabeen - Collaroy,122031431,2686.6958097360707
Terrey Hills - Duffys Forest,122031432,1967.7445676119787
Camden - Ellis Lane,123011433,1344.7744394286278
Elderslie - Harrington Park,123011434,1172.766403473816
Mount Annan - Currans Hill,123011435,1180.0827083837366
Bradbury - Wedderburn,123021436,950.1004171172564
Campbelltown - Woodbine,123021437,950.1004171172564
Claymore - Eagle Vale - Raby,123021438,918.299396310451
Ingleburn - Denham Court,123021440,1431.5277415277692
Leumeah - Minto Heights,123021441,987.7432404448472
Macquarie Fields - Glenfield,123021442,1416.676153329443
Minto - St Andrews,123021443,1003.03163212063
Rosemeadow - Glen Alpine,123021444,366.79157638894213
Bargo,123031445,394.21870148251384
Douglas Park - Appin,123031446,699.0522068546609
Picton - Tahmoor - Buxton,123031447,563.4895392480798
The Oaks - Oakdale,123031448,1319.2519201080788
Blackheath - Megalong Valley,124011449,578.737058203764
Blaxland - Warrimoo - Lapstone,124011450,840.5844565433807
Katoomba - Leura,124011452,428.0407290969805
Lawson - Hazelbrook - Linden,124011453,498.0943314773508
Springwood - Winmalee,124011454,647.8701292336208
Wentworth Falls,124011455,579.0784557907846
Cambridge Park,124031457,1051.6078526885083
Castlereagh - Cranebrook,124031458,1034.292345057967
Emu Plains - Leonay,124031459,1006.6893525922981
Glenmore Park - Regentville,124031460,1340.4960955887857
Jamisontown - South Penrith,124031461,1006.689352592298
Kingswood - Werrington,124031462,1051.6078526885083
Mulgoa - Luddenham - Orchard Hills,124031463,716.6324465812099
